id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
20936208,Home in Blairgowrie ?? ???4.69 ?? 3 bedrooms ?? 4 beds ?? 1 bath,2246083,Lynne,,Point Nepean,-38.36467,144.76838,Entire home/apt,350,100,52,7/01/2023,0.75,1,168,4,
20950292,Home in Mount Martha ?? 4 bedrooms ?? 4 beds ?? 2 baths,24814727,Holiday Shacks,,Mount Martha,-38.2614,145.02956,Entire home/apt,817,2,2,17/01/2021,0.04,45,359,0,
20973926,Home in Rye ?? ???4.80 ?? 3 bedrooms ?? 8 beds ?? 1 bath,20736296,Bridgette,,Point Nepean,-38.37377,144.80083,Entire home/apt,236,2,41,18/03/2023,0.59,1,347,10,
21019283,Rental unit in Rosebud ?? ???4.74 ?? 2 bedrooms ?? 2 beds ?? 2 baths,7046664,Dave,,Rosebud - McCrae,-38.35402,144.90935,Entire home/apt,179,3,104,22/05/2023,1.51,100,73,24,
21071782,Home in Rye ?? ???4.59 ?? 3 bedrooms ?? 6 beds ?? 1 bath,93958007,Victoria,,Point Nepean,-38.3842,144.79802,Entire home/apt,263,2,27,10/04/2023,0.41,1,194,4,
21111320,Home in Blairgowrie ?? ???4.93 ?? 5 bedrooms ?? 9 beds ?? 2 baths,152244038,Mario,,Point Nepean,-38.37243,144.7841,Entire home/apt,555,2,188,28/05/2023,2.73,1,318,28,
21143025,Home in Rye ?? ???4.50 ?? 3 bedrooms ?? 3 beds ?? 2 baths,22524507,Loretta,,Point Nepean,-38.37774,144.82394,Entire home/apt,294,2,16,20/01/2023,0.3,8,181,2,
21153287,Home in Shoreham ?? ???4.78 ?? 3 bedrooms ?? 4 beds ?? 1 bath,77234560,Allister,,Flinders,-38.42195,145.05146,Entire home/apt,412,3,11,9/04/2023,0.16,1,0,7,
21154280,Cottage in Sorrento ?? ???4.90 ?? 3 bedrooms ?? 4 beds ?? 1.5 baths,28080862,Chiara,,Point Nepean,-38.34636,144.73816,Entire home/apt,310,1,143,22/05/2023,2.09,1,80,21,
21174931,Home in Blairgowrie ?? ???4.71 ?? 4 bedrooms ?? 7 beds ?? 2.5 baths,91036508,Chris,,Point Nepean,-38.36511,144.76843,Entire home/apt,999,2,14,10/04/2023,0.28,1,356,2,
21194786,Home in Capel Sound ?? ???4.84 ?? 3 bedrooms ?? 5 beds ?? 2 baths,12040610,Kym,,Rosebud - McCrae,-38.36967,144.86634,Entire home/apt,260,2,58,22/01/2023,0.88,1,157,7,
21205936,Home in Sorrento ?? ???3.80 ?? 5 bedrooms ?? 6 beds ?? 3 baths,23049710,Justin Tang,,Point Nepean,-38.34725,144.75778,Entire home/apt,1248,2,6,24/09/2022,0.11,42,360,1,
21207037,Cottage in Rye ?? ???4.98 ?? 4 bedrooms ?? 5 beds ?? 3.5 baths,153199006,Craig,,Point Nepean,-38.38093,144.83461,Entire home/apt,269,2,41,20/05/2023,0.62,1,3,7,
21209009,Home in Flinders ?? ???4.85 ?? 4 bedrooms ?? 4 beds ?? 3 baths,864461,Nikki,,Flinders,-38.46949,145.02344,Entire home/apt,526,2,48,21/05/2023,0.7,6,306,10,
21217490,Home in Tootgarook ?? ???4.89 ?? 3 bedrooms ?? 5 beds ?? 2 baths,153298397,Scott And Pauline,,Point Nepean,-38.38487,144.84623,Entire home/apt,185,2,85,30/04/2023,1.25,1,50,14,
21219281,Bungalow in Shoreham ?? ???4.92 ?? 1 bedroom ?? 1 bed ?? 1 bath,2370215,Calum,,Flinders,-38.41642,145.05164,Entire home/apt,200,2,174,7/06/2023,2.54,1,86,19,
21221971,Home in Tootgarook ?? ???4.83 ?? 4 bedrooms ?? 5 beds ?? 2 baths,153344677,Damien,,Point Nepean,-38.37982,144.84631,Entire home/apt,506,1,76,23/04/2023,1.19,1,363,25,
21253834,Home in Rosebud ?? ???4.88 ?? 3 bedrooms ?? 6 beds ?? 1 bath,153669771,Olivia,,Rosebud - McCrae,-38.35989,144.91944,Entire home/apt,257,2,34,8/01/2023,0.5,1,364,2,
21265386,Home in Sorrento ?? ???5.0 ?? 3 bedrooms ?? 6 beds ?? 2 baths,16876366,Andrew,,Point Nepean,-38.351879,144.751144,Entire home/apt,946,2,4,11/03/2020,0.06,102,348,0,
21283700,Home in Saint Andrews Beach ?? ???4.74 ?? 4 bedrooms ?? 6 beds ?? 2 baths,141449561,Vicki,,Point Nepean,-38.42114,144.83669,Entire home/apt,386,2,57,26/05/2023,0.86,83,240,10,
21301640,Guesthouse in Mornington ?? ???4.74 ?? 1 bedroom ?? 1 bed ?? 1 bath,47802538,Katrina,,Mornington - West,-38.22683,145.03291,Entire home/apt,221,1,280,21/04/2023,4.24,2,270,53,
21317466,Home in Rye ?? ???5.0 ?? 4 bedrooms ?? 4 beds ?? 2 baths,154296245,Amber,,Point Nepean,-38.37165,144.82287,Entire home/apt,643,5,6,25/02/2018,0.09,1,356,0,
21399364,Home in Blairgowrie ?? 4 bedrooms ?? 6 beds ?? 3 baths,24814727,Holiday Shacks,,Point Nepean,-38.37072,144.7867,Entire home/apt,617,2,0,,,45,347,0,
21400617,Home in Capel Sound ?? ???4.58 ?? 3 bedrooms ?? 4 beds ?? 1 bath,118620325,Charles And Heather,,Rosebud - McCrae,-38.36869,144.88238,Entire home/apt,200,3,45,9/04/2023,0.68,1,221,3,
21426475,Home in Blairgowrie ?? ???5.0 ?? 3 bedrooms ?? 7 beds ?? 2 baths,17578999,Michelle,,Point Nepean,-38.37088,144.78306,Entire home/apt,363,2,7,13/01/2022,0.14,69,346,0,
21428398,Home in Mornington ?? 3 bedrooms ?? 4 beds ?? 2 baths,41668222,Mornington Peninsula Holiday Accomm,,Mornington - West,-38.224049,145.038681,Entire home/apt,382,2,0,,,71,41,0,
21428894,Home in Mount Martha ?? 4 bedrooms ?? 5 beds ?? 2 baths,41668222,Mornington Peninsula Holiday Accomm,,Mount Martha,-38.25243,145.05473,Entire home/apt,624,2,2,19/01/2021,0.05,71,276,0,
21441210,Home in Bittern ?? ???4.84 ?? 1 bedroom ?? 1 bed ?? 1 private bath,116188450,Cate,,Hastings - Somers,-38.34039,145.17293,Private room,110,1,166,11/06/2023,2.51,1,297,36,
21459465,Home in Sorrento ?? ???4.96 ?? 3 bedrooms ?? 3 beds ?? 2 baths,155801071,Jane,,Point Nepean,-38.34207,144.73649,Entire home/apt,500,1,55,21/03/2020,0.83,1,67,0,
21462597,Home in Sorrento ?? ???4.67 ?? 5 bedrooms ?? 10 beds ?? 2 baths,33397979,Beach House Rentals,,Point Nepean,-38.33986,144.73459,Entire home/apt,1530,3,3,9/01/2023,0.06,67,328,1,
21463151,Rental unit in Rye ?? ???4.84 ?? 2 bedrooms ?? 3 beds ?? 1 bath,17390452,Christine,,Point Nepean,-38.37781,144.79255,Entire home/apt,214,3,37,3/01/2022,0.56,1,83,0,
21465799,Home in Rye ?? ???4.95 ?? 4 bedrooms ?? 4 beds ?? 2.5 baths,33712897,Joy,,Point Nepean,-38.38859,144.79331,Entire home/apt,650,3,19,14/01/2023,0.29,1,258,2,
21477049,Home in Tootgarook ?? ???5.0 ?? 3 bedrooms ?? 6 beds ?? 2.5 baths,155981720,Estee,,Point Nepean,-38.36945,144.85095,Entire home/apt,800,3,10,2/01/2020,0.15,1,187,0,
21489563,Guesthouse in Fingal ?? ???4.40 ?? 2 bedrooms ?? 3 beds ?? 1 bath,26027984,Michelle,,Point Nepean,-38.40461,144.86114,Entire home/apt,311,2,10,11/06/2023,3.85,13,284,10,
21496754,Home in Mount Martha ?? ???4.87 ?? 3 bedrooms ?? 4 beds ?? 2 baths,30465498,Fleur,,Mount Martha,-38.25155,145.04065,Entire home/apt,265,3,15,31/08/2022,0.23,1,130,1,
21506451,Home in Blairgowrie ?? ???4.88 ?? 4 bedrooms ?? 6 beds ?? 3 baths,9562689,Verve,,Point Nepean,-38.36295,144.75897,Entire home/apt,866,2,18,15/04/2023,0.28,52,194,2,
21517903,Home in Dromana ?? ???4.88 ?? 3 bedrooms ?? 7 beds ?? 3 baths,22524507,Loretta,,Dromana,-38.33724,144.9572,Entire home/apt,270,2,16,26/03/2023,0.24,8,0,2,
21518153,Home in Mount Martha ?? 3 bedrooms ?? 3 beds ?? 2 baths,37195672,Andrew From Allocate,,Mount Martha,-38.2813979,145.0104575,Entire home/apt,639,5,2,2/01/2021,0.03,91,171,0,
21530096,Home in Sorrento ?? ???5.0 ?? 5 bedrooms ?? 6 beds ?? 3 baths,16876366,Andrew,,Point Nepean,-38.33495,144.73725,Entire home/apt,1872,2,5,2/04/2018,0.08,102,348,0,
21568312,Home in Rye ?? ???4.92 ?? 4 bedrooms ?? 4 beds ?? 1 bath,152298154,Karen,,Point Nepean,-38.38706,144.79097,Entire home/apt,259,2,222,3/06/2023,3.41,1,277,46,
21586224,Home in Mornington ?? ???5.0 ?? 4 bedrooms ?? 6 beds ?? 2.5 baths,41212473,Carla,,Mornington - West,-38.21582,145.04583,Entire home/apt,600,30,15,12/11/2022,0.3,1,161,3,
21611435,Home in Rosebud ?? ???4.0 ?? 3 bedrooms ?? 4 beds ?? 1 bath,21146240,Getaway PM,,Rosebud - McCrae,-38.35704,144.91547,Entire home/apt,342,2,3,24/12/2018,0.05,48,306,0,
