id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
42894332,Home in Byron Bay · ★4.92 · 3 bedrooms · 3 beds · 2 baths,13078993,Glen & Nicole,,BYRON SHIRE COUNCIL,-28.64588,153.60861,Entire home/apt,398,3,53,2023-05-27,1.70,2,271,21,PID-STRA-31176
42897081,Guesthouse in Tyndale · ★4.77 · 1 bedroom · 2 beds · 1 private bath,341581090,John,,CLARENCE VALLEY COUNCIL,-29.56625,153.1425,Private room,129,1,26,2022-11-06,0.79,1,72,3,Exempt
42898997,Guest suite in Ocean Shores · ★4.93 · Studio · 1 bed · 1 bath,341594347,Heera,,BYRON SHIRE COUNCIL,-28.52604,153.54069,Entire home/apt,120,3,31,2023-04-11,0.78,1,157,4,PID-STRA-31942
42906456,Rental unit in Yamba · ★4.80 · 2 bedrooms · 3 beds · 1 bath,341665714,Jane,,CLARENCE VALLEY COUNCIL,-29.444672,153.35231,Entire home/apt,199,1,135,2023-06-08,3.42,3,304,33,Exempt
42930242,Guest suite in Yamba · ★5.0 · Studio · 1 bed · 1 bath,341829313,Gordon,,CLARENCE VALLEY COUNCIL,-29.43906,153.35018,Entire home/apt,238,5,9,2022-01-07,0.25,1,365,0,PID-STRA-3476-2
42943395,Townhouse in Casuarina · 1 bedroom · 1 bed · 1 private bath,284366245,Maria Clara,,TWEED SHIRE COUNCIL,-28.28996,153.57495,Private room,80,90,0,,,1,0,0,
42944376,Home in Yamba · ★4.75 · 4 bedrooms · 6 beds · 3 baths,110897201,Elders,,CLARENCE VALLEY COUNCIL,-29.41988,153.32214,Entire home/apt,442,1,12,2023-05-24,0.37,136,270,4,PID-STRA-17116
42944464,Guesthouse in Byron Bay · ★5.0 · 1 bedroom · 1 bed · 1 bath,3068934,Jane,,BYRON SHIRE COUNCIL,-28.63294,153.58785,Entire home/apt,157,2,27,2023-06-12,3.82,1,67,27,Exempt
42957353,Villa in Byron Bay · ★4.78 · 4 bedrooms · 4 beds · 3.5 baths,331060585,Lisa,,BYRON SHIRE COUNCIL,-28.653005599975586,153.6178436279297,Entire home/apt,814,2,9,2023-01-13,0.30,1,61,4,PID-STRA-31887
42966871,Home in Pottsville · ★4.95 · 1 bedroom · 1 bed · 1 private bath,12170031,Kirsten,,TWEED SHIRE COUNCIL,-28.37394,153.56112,Private room,66969,1,39,2023-04-10,0.99,1,130,9,
42990186,Rental unit in Byron Bay · 1 bedroom · 0 baths,119329,Temple Retreats,,BYRON SHIRE COUNCIL,-28.6483,153.61742,Entire home/apt,10000,2,0,,,36,365,0,PID-STRA-32435
43025769,Home in Byron Bay · ★5.0 · 4 bedrooms · 5 beds · 2 baths,119329,Temple Retreats,,BYRON SHIRE COUNCIL,-28.65099,153.61565,Entire home/apt,528,4,7,2022-11-08,0.19,36,311,3,PID-STRA-34945
43026625,Boutique hotel in Brunswick Heads · ★4.61 · 1 bedroom · 3 beds · 1 private bath,257910214,Ryan,,BYRON SHIRE COUNCIL,-28.54421,153.54688,Private room,204,1,106,2023-06-04,2.73,6,273,38,Exempt
43026642,Boutique hotel in Brunswick Heads · ★4.89 · 1 bedroom · 1 bed · 1 private bath,257910214,Ryan,,BYRON SHIRE COUNCIL,-28.54327,153.54671,Private room,202,1,162,2023-05-24,4.29,6,289,47,Exempt
43028052,Rental unit in Byron Bay · ★4.89 · 2 bedrooms · 2 beds · 1.5 baths,23547531,Jen,,BYRON SHIRE COUNCIL,-28.64356,153.61441,Entire home/apt,228,3,73,2023-06-15,2.12,1,295,36,PID-STRA-30503
43039829,Townhouse in Byron Bay · ★4.72 · 3 bedrooms · 4 beds · 2.5 baths,92213680,East Coast Escapes,,BYRON SHIRE COUNCIL,-28.6509171,153.6183687,Entire home/apt,719,3,29,2023-03-27,0.80,51,303,5,PID-STRA-31262
43045764,Serviced apartment in Lennox Head · ★5.0 · 2 bedrooms · 3 beds · 2 baths,62483154,Leah And Jeremy,,BALLINA SHIRE COUNCIL,-28.7966,153.59091,Entire home/apt,525,1,8,2021-11-29,0.24,25,0,0,Exempt
